,United States of America,Federal state,".mw-parser-output .monospaced{font-family:monospace,monospace}USUSA840",US,00,,,U.S.,U.S.,U.S.A.,,,,,
1,Alabama,State,US-AL,AL,01,AL,AL,Ala.,Ala.,,,,,,
2,Alaska,State,US-AK,AK,02,AK,AK,Alaska,Alaska,Alas.,,,,,
3,Arizona,State,US-AZ,AZ,04,AZ,AZ,Ariz.,Ariz.,Az.,,,,,
4,Arkansas,State,US-AR,AR,05,AR,AR,Ark.,Ark.,,,,,,
5,California,State,US-CA,CA,06,CA,CF,Calif.,Calif.,"Ca., Cal.",,,,,
6,Colorado,State,US-CO,CO,08,CO,CL,Colo.,Colo.,Col.,,,,,
7,Connecticut,State,US-CT,CT,09,CT,CT,Conn.,Conn.,Ct.,,,,,
8,Delaware,State,US-DE,DE,10,DE,DL,Del.,Del.,De.,,,,,
9,District of Columbia,Federal district,US-DC,DC,11,DC,DC,D.C.,D.C.,Wash. D.C.,,,,,
10,Florida,State,US-FL,FL,12,FL,FL,Fla.,Fla.,"Fl., Flor.",,,,,
11,Georgia,State,US-GA,GA,13,GA,GA,Ga.,Ga.,Geo.,,,,,
12,Hawaii,State,US-HI,HI,15,HI,HA,Hawaii,Hawaii,H.I.,,,,,
13,Idaho,State,US-ID,ID,16,ID,ID,Idaho,Idaho,"Id., Ida.",,,,,
14,Illinois,State,US-IL,IL,17,IL,IL,Ill.,Ill.,"Il., Ills., Ill's",,,,,
15,Indiana,State,US-IN,IN,18,IN,IN,Ind.,Ind.,In.,,,,,
16,Iowa,State,US-IA,IA,19,IA,IA,Iowa,Iowa,"Ia., Ioa.[1]",,,,,
17,Kansas,State,US-KS,KS,20,KS,KA,Kans.,Kan.,"Ks., Ka.",,,,,
18,Kentucky,State (Commonwealth),US-KY,KY,21,KY,KY,Ky.,Ky.,"Ken., Kent.",,,,,
19,Louisiana,State,US-LA,LA,22,LA,LA,La.,La.,,,,,,
20,Maine,State,US-ME,ME,23,ME,ME,Maine,Maine,Me.,,,,,
21,Maryland,State,US-MD,MD,24,MD,MD,Md.,Md.,,,,,,
22,Massachusetts,State (Commonwealth),US-MA,MA,25,MA,MS,Mass.,Mass.,,,,,,
23,Michigan,State,US-MI,MI,26,MI,MC,Mich.,Mich.,,,,,,
24,Minnesota,State,US-MN,MN,27,MN,MN,Minn.,Minn.,Mn.,,,,,
25,Mississippi,State,US-MS,MS,28,MS,MI,Miss.,Miss.,,,,,,
26,Missouri,State,US-MO,MO,29,MO,MO,Mo.,Mo.,,,,,,
27,Montana,State,US-MT,MT,30,MT,MT,Mont.,Mont.,,,,,,
28,Nebraska,State,US-NE,NE,31,NE,NB,Nebr.,Neb.,,,,,,
29,Nevada,State,US-NV,NV,32,NV,NV,Nev.,Nev.,Nv.,,,,,
30,New Hampshire,State,US-NH,NH,33,NH,NH,N.H.,N.H.,,,,,,
31,New Jersey,State,US-NJ,NJ,34,NJ,NJ,N.J.,N.J.,N.Jersey,,,,,
32,New Mexico,State,US-NM,NM,35,NM,NM,N. Mex.,N.M.,New M.,,,,,
33,New York,State,US-NY,NY,36,NY,NY,N.Y.,N.Y.,N. York,,,,,
34,North Carolina,State,US-NC,NC,37,NC,NC,N.C.,N.C.,N. Car.,,,,,
35,North Dakota,State,US-ND,ND,38,ND,ND,N. Dak.,N.D.,NoDak,,,,,
36,Ohio,State,US-OH,OH,39,OH,OH,Ohio,Ohio,"O., Oh.",,,,,
37,Oklahoma,State,US-OK,OK,40,OK,OK,Okla.,Okla.,Ok.,,,,,
38,Oregon,State,US-OR,OR,41,OR,OR,Oreg.,Ore.,Or.,,,,,
39,Pennsylvania,State (Commonwealth),US-PA,PA,42,PA,PA,Pa.,Pa.,"Penn., Penna.",,,,,
40,Rhode Island,State,US-RI,RI,44,RI,RI,R.I.,R.I.,"R.I. & P.P., R. Isl.",,,,,
41,South Carolina,State,US-SC,SC,45,SC,SC,S.C.,S.C.,S. Car.,,,,,
42,South Dakota,State,US-SD,SD,46,SD,SD,S. Dak.,S.D.,SoDak,,,,,
43,Tennessee,State,US-TN,TN,47,TN,TN,Tenn.,Tenn.,,,,,,
44,Texas,State,US-TX,TX,48,TX,TX,Tex.,Texas,Tx.,,,,,
45,Utah,State,US-UT,UT,49,UT,UT,Utah,Utah,Ut.,,,,,
46,Vermont,State,US-VT,VT,50,VT,VT,Vt.,Vt.,,,,,,
47,Virginia,State (Commonwealth),US-VA,VA,51,VA,VA,Va.,Va.,Virg.,,,,,
48,Washington,State,US-WA,WA,53,WA,WN,Wash.,Wash.,"Wa., Wn.[2]",,,,,
49,West Virginia,State,US-WV,WV,54,WV,WV,W. Va.,W.Va.,"W.V., W. Virg.",,,,,
50,Wisconsin,State,US-WI,WI,55,WI,WS,Wis.,Wis.,"Wi., Wisc.",,,,,
51,Wyoming,State,US-WY,WY,56,WY,WY,Wyo.,Wyo.,Wy.,,,,,
52,American Samoa,Insular area (Territory),ASASM016US-AS,AS,60,AS,AS,A.S.,,,,,,,
53,Guam,Insular area (Territory),GUGUM316US-GU,GU,66,GU,GU,Guam,,,,,,,
54,Northern Mariana Islands,Insular area (Commonwealth),MPMNP580US-MP,MP,69,MP,CM,M.P.,,CNMI[3],,,,,
55,Puerto Rico,Insular area (Territory),PRPRI630US-PR,PR,72,PR,PR,P.R.,,,,,,,
56,U.S. Virgin Islands,Insular area (Territory),VIVIR850US-VI,VI,78,VI,VI,V.I.,,U.S.V.I.,,,,,
57,U.S. Minor Outlying Islands,Insular areas,UMUMI581US-UM,UM,74,,,,,,,,,,
58,Baker Island,island,UM-81,,81,,,,,XB[4],,,,,
59,Howland Island,island,UM-84,,84,,,,,XH[4],,,,,
60,Jarvis Island,island,UM-86,,86,,,,,XQ[4],,,,,
61,Johnston Atoll,atoll,UM-67,,67,,,,,XU[4],,,,,
62,Kingman Reef,atoll,UM-89,,89,,,,,XM[4],,,,,
63,Midway Islands,atoll,UM-71,,71,,,,,QM[4],,,,,
64,Navassa Island,island,UM-76,,76,,,,,XV[4],,,,,
65,Palmyra Atoll,atoll[5],UM-95,,95,,,,,XL[4],,,,,
66,Wake Island,atoll,UM-79,,79,,,,,QW[4],,,,,
67,Micronesia,Freely associated state,FMFSM583,FM,64,FM,,,,,,,,,
68,Marshall Islands,Freely associated state,MHMHL584,MH,68,MH,,,,,,,,,
69,Palau,Freely associated state,PWPLW585,PW,70,PW,,,,,,,,,
70,U.S. Armed Forces – Americas,US military mail code,,,,AA,,,,,,,,,
71,U.S. Armed Forces – Europe,US military mail code,,,,AE,,,,,,,,,
72,U.S. Armed Forces – Pacific,US military mail code,,,,AP,,,,,,,,,
73,Northern Mariana Islands,Obsolete postal code[9],,,,CM,,,,,,,,,
74,Panama Canal Zone,Obsolete postal code,PZPCZ594,,,CZ,,,,,,,,,
75,Nebraska,Obsolete postal code[10],,,,NB,,,,,,,,,
76,Philippine Islands,Obsolete postal code,PHPHL608[11],,,PI,,,,,,,,,
77,Trust Territory of the Pacific Islands,Obsolete postal code,PCPCI582,,,TT,,,,,,,,,
